month,cpi_date,CPI,inflation_rate_pct,Open,High,Low,Close,Volume,sp500_return_pct
2000-02,2000-02-01,169.8,0.5924170616113722,1394.4599609375,1444.550048828125,1325.0699462890625,1366.4200439453125,20912000000,-2.0108083256356934
2000-03,2000-03-01,171.2,0.8244994110718329,1366.4200439453125,1552.8699951171875,1346.6199951171875,1498.5799560546875,26156200000,9.671982835364812
2000-04,2000-04-01,171.3,0.05841121495329116,1498.5799560546875,1527.18994140625,1339.4000244140625,1452.4300537109375,20106460000,-3.0795755780191336
2000-05,2000-05-01,171.5,0.11675423234092097,1452.4300537109375,1481.510009765625,1361.0899658203125,1420.5999755859375,19898300000,-2.1915050603417807
2000-06,2000-06-01,172.4,0.5247813411078717,1420.5999755859375,1488.9300537109375,1420.5999755859375,1454.5999755859375,21738300000,2.3933549615877237
2000-07,2000-07-01,172.8,0.23201856148491462,1454.5999755859375,1517.3199462890625,1413.8900146484375,1430.8299560546875,19089100000,-1.6341275904170893
2000-08,2000-08-01,172.8,0.0,1430.8299560546875,1525.2099609375,1425.4300537109375,1517.6800537109375,20363700000,6.069910494167097
2000-09,2000-09-01,173.7,0.5208333333333259,1517.6800537109375,1530.0899658203125,1419.43994140625,1436.510009765625,20838300000,-5.3482974719764265
2000-10,2000-10-01,174.0,0.17271157167531026,1436.52001953125,1454.8199462890625,1305.7900390625,1429.4000244140625,25951400000,-0.49494854217706497
2000-11,2000-11-01,174.1,0.057471264367814356,1429.4000244140625,1438.4599609375,1294.9000244140625,1314.949951171875,20532300000,-8.006861010730892
2000-12,2000-12-01,174.0,-0.057438253877073464,1314.949951171875,1389.050048828125,1254.0699462890625,1320.280029296875,23610800000,0.40534456237286687
2001-01,2001-01-01,175.1,0.6321839080459801,1320.280029296875,1383.3699951171875,1274.6199951171875,1366.010009765625,27829800000,3.4636576676164488
2001-02,2001-02-01,175.8,0.3997715591090856,1366.010009765625,1376.3800048828125,1215.43994140625,1239.93994140625,21644400000,-9.229073539585963
2001-03,2001-03-01,176.2,0.22753128555175195,1239.93994140625,1267.4200439453125,1081.18994140625,1160.3299560546875,27806610000,-6.420471080339151
2001-04,2001-04-01,176.9,0.39727582292850006,1160.3299560546875,1269.300048828125,1091.989990234375,1249.4599609375,25409990000,7.681436165439459
2001-05,2001-05-01,177.7,0.45223289994347216,1249.4599609375,1315.9300537109375,1232.0,1255.8199462890625,24525900000,0.5090187401275648
2001-06,2001-06-01,178.0,0.16882386043894915,1255.8199462890625,1286.6199951171875,1203.030029296875,1224.3800048828125,24748030000,-2.503538942756467
2001-07,2001-07-01,177.5,-0.2808988764044895,1224.4200439453125,1239.780029296875,1165.5400390625,1211.22998046875,23793710000,-1.0740149595403703
2001-08,2001-08-01,177.5,0.0,1211.22998046875,1226.27001953125,1124.8699951171875,1133.5799560546875,23359200000,-6.410840688075748
2001-09,2001-09-01,178.3,0.4507042253521165,1133.5799560546875,1155.4000244140625,944.75,1040.93994140625,25025290000,-8.172340570563886
2001-10,2001-10-01,177.7,-0.33651149747617737,1040.93994140625,1110.6099853515625,1026.760009765625,1059.780029296875,29951280000,1.8099111333141016
2001-11,2001-11-01,177.4,-0.16882386043892694,1059.780029296875,1163.3800048828125,1054.31005859375,1139.449951171875,26330000000,7.51759041240454
2001-12,2001-12-01,176.7,-0.3945885005637084,1139.449951171875,1173.6199951171875,1114.530029296875,1148.0799560546875,25128570000,0.7573834088927756
2002-01,2002-01-01,177.1,0.22637238256932868,1148.0799560546875,1176.969970703125,1081.6600341796875,1130.199951171875,29746200000,-1.5573832456979853
2002-02,2002-02-01,177.8,0.39525691699606735,1130.199951171875,1130.199951171875,1074.3599853515625,1106.72998046875,26047600000,-2.0766211039727644
2002-03,2002-03-01,178.8,0.5624296962879693,1106.72998046875,1173.93994140625,1106.72998046875,1147.3900146484375,26563200000,3.6738892862074657
2002-04,2002-04-01,179.8,0.5592841163311046,1147.3900146484375,1147.8399658203125,1063.4599609375,1076.9200439453125,28568900000,-6.141762591921907
2002-05,2002-05-01,179.8,0.0,1076.9200439453125,1106.5899658203125,1048.9599609375,1067.1400146484375,26905500000,-0.9081481352177012
2002-06,2002-06-01,179.9,0.05561735261401246,1067.1400146484375,1070.739990234375,952.9199829101562,989.8200073242188,29981510000,-7.24553538081798
2002-07,2002-07-01,180.1,0.11117287381878782,989.8200073242188,994.4600219726562,775.6799926757812,911.6199951171876,42228720000,-7.9004275149407555
2002-08,2002-08-01,180.7,0.3331482509716821,911.6199951171876,965.0,833.4400024414062,916.0700073242188,29298400000,0.4881433306494154
2002-09,2002-09-01,181.0,0.16602102933038765,916.0700073242188,924.02001953125,800.2000122070312,815.280029296875,27723710000,-11.002431825242788
2002-10,2002-10-01,181.3,0.16574585635360517,815.280029296875,907.4400024414062,768.6300048828125,885.760009765625,37856310000,8.644880033371404
2002-11,2002-11-01,181.3,0.0,885.760009765625,941.8200073242188,872.0499877929688,936.3099975585938,29200960000,5.706962070498589
2002-12,2002-12-01,180.9,-0.22062879205736463,936.3099975585938,954.280029296875,869.4500122070312,879.8200073242188,25993640000,-6.033257188502883
2003-01,2003-01-01,181.7,0.44223327805417156,879.8200073242188,935.0499877929688,840.3400268554688,855.7000122070312,30749580000,-2.741469268304464
2003-02,2003-02-01,183.1,0.7705008255366019,855.7000122070312,864.6400146484375,806.2899780273438,841.1500244140625,25235300000,-1.700360825687175
2003-03,2003-03-01,184.2,0.6007646095030017,841.1500244140625,895.9000244140625,788.9000244140625,848.1799926757812,30080030000,0.8357567684332823
2003-04,2003-04-01,183.8,-0.21715526601518986,848.1799926757812,924.239990234375,847.8499755859375,916.9199829101562,29669610000,8.10441071800323
2003-05,2003-05-01,183.5,-0.16322089227421843,916.9199829101562,965.3800048828124,902.8300170898438,963.5900268554688,30952100000,5.0898709609522585
2003-06,2003-06-01,183.7,0.10899182561308063,963.5900268554688,1015.3300170898438,963.5900268554688,974.5,31219400000,1.1322214676852127
2003-07,2003-07-01,183.9,0.10887316276537717,974.5,1015.4099731445312,962.0999755859376,990.3099975585938,31553200000,1.6223701958536507
2003-08,2003-08-01,184.6,0.38064165307232223,990.3099975585938,1011.010009765625,960.8400268554688,1008.010009765625,24881470000,1.7873203593487874
2003-09,2003-09-01,185.2,0.3250270855904569,1008.010009765625,1040.2900390625,990.3599853515624,995.969970703125,29940110000,-1.1944364585525724
2003-10,2003-10-01,185.0,-0.10799136069113979,995.969970703125,1053.7900390625,995.969970703125,1050.7099609375,32298500000,5.496148663571665
2003-11,2003-11-01,184.5,-0.2702702702702675,1050.7099609375,1063.6500244140625,1031.199951171875,1058.199951171875,24463220000,0.7128504071372888
2003-12,2003-12-01,184.3,-0.10840108401083404,1058.199951171875,1112.56005859375,1053.4100341796875,1111.9200439453125,27839130000,5.076554077889206
2004-01,2004-01-01,185.2,0.48833423765597406,1111.9200439453125,1155.3800048828125,1105.0799560546875,1131.1300048828125,32820000000,1.7276386950755285
2004-02,2004-02-01,186.2,0.5399568034557323,1131.1300048828125,1158.97998046875,1124.43994140625,1144.93994140625,27985600000,1.220897373761054
2004-03,2004-03-01,187.4,0.6444683136412444,1144.93994140625,1163.22998046875,1087.1600341796875,1126.2099609375,33597900000,-1.635891961786684
2004-04,2004-04-01,188.0,0.32017075773744796,1126.2099609375,1150.5699462890625,1107.22998046875,1107.300048828125,31611900000,-1.6790751960348183
2004-05,2004-05-01,189.1,0.5851063829787284,1107.300048828125,1127.739990234375,1076.3199462890625,1120.6800537109375,29326400000,1.208345009735412
2004-06,2004-06-01,189.7,0.3172924378635589,1120.6800537109375,1146.3399658203125,1113.3199462890625,1140.8399658203125,27529500000,1.7988998771432563
2004-07,2004-07-01,189.4,-0.1581444385872377,1140.8399658203125,1140.8399658203125,1078.780029296875,1101.719970703125,29285600000,-3.4290519520026264
2004-08,2004-08-01,189.5,0.052798310454060804,1101.719970703125,1109.6800537109375,1060.719970703125,1104.239990234375,26586800000,0.22873503233691306
2004-09,2004-09-01,189.9,0.21108179419524475,1104.239990234375,1131.5400390625,1099.1800537109375,1114.5799560546875,26829870000,0.9363875526838816
2004-10,2004-10-01,190.9,0.526592943654558,1114.5799560546875,1142.050048828125,1090.2900390625,1130.199951171875,31511000000,1.4014243690939843
2004-11,2004-11-01,191.0,0.05238344683080598,1130.199951171875,1188.4599609375,1127.5999755859375,1173.8199462890625,30460280000,3.859493629597055
2004-12,2004-12-01,190.3,-0.3664921465968529,1173.780029296875,1217.3299560546875,1173.780029296875,1211.9200439453125,31102500000,3.245821284320516
2005-01,2005-01-01,190.7,0.21019442984759884,1211.9200439453125,1217.800048828125,1163.75,1181.27001953125,31498800000,-2.529046744229402
2005-02,2005-02-01,191.8,0.5768222338752071,1181.27001953125,1212.43994140625,1180.949951171875,1203.5999755859375,29297410000,1.8903346132113308
2005-03,2005-03-01,193.3,0.7820646506777829,1203.5999755859375,1229.1099853515625,1163.68994140625,1180.5899658203125,39014150000,-1.911765556028966
2005-04,2005-04-01,194.6,0.6725297465079993,1180.5899658203125,1191.8800048828125,1136.1500244140625,1156.8499755859375,43424270000,-2.0108582083263493
2005-05,2005-05-01,194.4,-0.10277492291880241,1156.8499755859375,1199.56005859375,1146.1800537109375,1191.5,39321990000,2.995204663120865
2005-06,2005-06-01,194.5,0.051440329218110925,1191.5,1219.5899658203125,1188.300048828125,1191.3299560546875,40334040000,-0.014271417986777557
2005-07,2005-07-01,195.4,0.46272493573265017,1191.3299560546875,1245.1500244140625,1183.550048828125,1234.1800537109375,37464670000,3.596828690361842
2005-08,2005-08-01,196.4,0.5117707267144223,1234.1800537109375,1245.8599853515625,1201.0699462890625,1220.3299560546875,42030090000,-1.122210459860007
2005-09,2005-09-01,198.8,1.2219959266802416,1220.3299560546875,1243.1300048828125,1205.3499755859375,1228.81005859375,44777510000,0.694902431673361
2005-10,2005-10-01,199.2,0.2012072434607548,1228.81005859375,1233.3399658203125,1168.199951171875,1207.010009765625,49793790000,-1.7740779932313488
