,inflation_rate_pct,sp500_return_pct
count,299.0,299.0
mean,0.2102421187899599,0.5821546169708046
std,0.3836679569303492,4.411976328773883
min,-1.9152895328595876,-16.942452401777075
25%,-0.006823986698273332,-1.7953974894204472
50%,0.2012072434607548,1.1095810408889628
75%,0.46657184422800313,3.3054708787952913
max,1.3736075758819855,12.68440381652789
